221,"917 GEYER","MISHAWAKA","IN","46544"
222,"53250 COUNTY MURRAY DR","GRANGER","IN","46530"
223,"546 CALHOUN","MISHAWAKA","IN","46545"
224,"1321 BENNINGTON DR","MISHAWAKA","IN","46544"
225,"3612 DURHAM LN","MISHAWAKA","IN","46545"
226,"108 E WOLF","NORTH LIBERTY","IN","46554"
227,"16310 OAK HILL BLVD","GRANGER","IN","46530"
228,"51961 TAELMAN CR","GRANGER","IN","46530"
229,"19025 PELICAN COVE CT","SOUTH BEND","IN","46637"
230,"50650 BRISTOL AV","SOUTH BEND","IN","46637"
231,"1524 SOUTHWOOD","SOUTH BEND","IN","46615"
232,"1611 SOUTHBROOK","SOUTH BEND","IN","46614"
233,"1346 E MONROE ST","SOUTH BEND","IN","46615"
234,"17813 BAY WINDS DR","SOUTH BEND","IN","46635"
235,"56405 EASTLEA DR","SOUTH BEND","IN","46619"
236,"14758 BRICK RD","GRANGER","IN","46530"
237,"2640 CASTINE WALK","MISHAWAKA","IN","46544"
238,"58730 IRELAND TR","MISHAWAKA","IN","46544"
239,"627 OSTEMO","SOUTH BEND","IN","46617"
240,"801 E 6TH ST","MISHAWAKA","IN","46544"
241,"4345 GARDEN OAK DR","SOUTH BEND","IN","46628"
242,"922 NOTRE DAME","SOUTH BEND","IN","46617"
243,"24465 GERENCSER DR","SOUTH BEND","IN","46614"
244,"51803 WINDYRIDGE DR","SOUTH BEND","IN","46628"
245,"423 ARTHUR","SOUTH BEND","IN","46613"
246,"25723 HUNT TRAIL","SOUTH BEND","IN","46628"
247,"59960 RED FOX CT","SOUTH BEND","IN","46614"
248,"19405 WEDGEWOOD DR","SOUTH BEND","IN","46637"
249,"50945 WOODSTREAM CT","GRANGER","IN","46530"
250,"55197 CEDAR TR","OSCEOLA","IN","46561"
